Domain,Number of Papers,Percent Eligible,Percent Using Actionability Term,Most Common Dimensions,Common Properties (What Makes Actionable),Most Common Operational Strategies,Representative Quotes
Healthcare / Clinical,58,82.8,8.6,"CR(52), CL(51), FE(50), GA(50), EX(45), TI(35)",is not fully ready for implementationfl p 6;  fi; identifiable measurable service quality attributes tangibility empathy responsiveness reliability assurance; modifiable interpersonal and efficiency aspects of nurse care; positive patient attitudes trust willingness to engage in treatment discussions confidence in nurses; hospital service empathy and responsiveness,operational steps  workflow; then; frameworkapproach names female intelligence integration for actionability conceptual; methodslevers targeting female sources mixedgender team integration debunking myths systematic inclusion in planning; data  measures survey likertscale and interviews with bundeswehr humint operators descriptive and inferential analysis of access patterns and perceptions; implementation context military humint in afghanistan iraq kosovo,"fireal-time social media monitoring to ‚capture early signals of emerging threats™- predictive modelling to deliver proactive alerts.fl (p. 297) :contentReference[oaicite:13]{index=13} | fiTimely and reliable data is essential-fl (p. 297) :contentReference[oaicite:14]{index=14} | fiinteractive maps, trend charts, country rankingsfl (p. 297) Š to fitransform complex outbreak data into clear- intelligence.fl :contentReference[oaicite:15]{index=15} | fiCountry insights: individual disease events- interactive maps and local hotspots identified.fl (p. 297) :contentReference[oaicite:16]{index=16}"
Process Mining / BPM,42,57.1,33.3,"EX(28), CR(26), GA(26), CL(25), FE(24), TI(19)",valid and timely information; ability to make informed choices; vigilant monitoring of input validity and implementation outcomes; continuous reevaluation of data in changing contexts; human interpretation and integration of multiple data sources; alignment of decisions with organizational goals and value creation,operational steps  workflow; frameworkapproach names; methodslevers; data  measures; implementation context; data,"fiprocess mining should be viewed as a continuous process providing actionable information according to various time scales-fl (p. 186) :contentReference[oaicite:16]{index=16} | fiThree operational support activities can be identified: detect, predict, and recommend.fl (p. 190) :contentReference[oaicite:17]{index=17} | fiReplay may be used to reveal discrepancies between an event log and a model- [and] add expected waiting times to the model.fl (p. 183) :contentReference[oaicite:18]{index=18} | fiModels- should be seen as ‚maps™- emphasize the things relevant for a particular type of user.fl (p. 183) :contentReference[oaicite:19]{index=19}"
Education / Learning,40,92.5,10.0,"CL(40), CR(40), FE(39), EX(39), GA(39), TI(28)",alignment with teachers pedagogical intentions and learning design; translation of raw sensor data into meaningful constructs; integration of contextual knowledge roles resources assessment criteria; clear visual and narrative presentation to nonexperts; timely delivery to support postactivity reflection; inclusion of error detection and performance feedback linked to guidelines,operational steps  workflow; frameworkapproach names yarnsense architecture; methodslevers pedagogical rule definition sensorbased multimodal data capture qe modelling automated narrative  visual generation; 1 teachers define learning context  pedagogical intentions context modeller; 2 collect multimodal data from machine and human sensing; 3 transform into learner models via multimodal matrices and qe modelling,"fiActionable knowledge must be framed to meet both the practical needs of policymakers and the strategic goals of educational reformfl (p. 16). | fiThe shift toward evidence-based policy-making demands that research be oriented toward measurable outcomesfl (p. 17). | fiActionability is achieved by offering explainees diverse counterfactual options, reducing cognitive load and empowering them to make better decisionsfl (p. 8). | fiBy considering the spatial relationship between counterfactual paths, we allow explainees to choose paths that suit their needs and preferencesfl (p. 7)."
Explainable AI / ML,34,91.2,11.8,"CR(33), FE(33), GA(33), CL(32), EX(31), TI(26)",directly modifiable by the user edges rooted at the user node; feasibility within privacy constraints only users own actions; causally linked to producing the desired recommendation must result in wni being top1; specificity identifies exact edges to add or remove; adaptability to system constraints and user preferences; alignment with realworld challenges and operational application goals,operational steps  workflow; data  measures; frameworkapproach names emigre explainable missing graph recommendation; methodslevers counterfactual graph modifications via edge addition add mode or removal remove mode; 1 define whynot item wni; 2 identify candidate edges userrooted influencing wni ranking using personalized pagerank contributions,"fiA clearly described motivation can increase a measure™s actionability by helping people- assess whether the bias they seek to measure- are well-matched to the need the measure is intended to address.fl | fi-clarity in the conceptualization of a bias measure™s underlying construct can increase the measure™s actionability- If the bias construct is not clearly specified- it becomes unclear how the measure™s results speak to any impacts or harms.fl | fiUnderstanding, and therefore acting, on the results- requires clearly articulated information about the values a result can take on- Proposed bias measures should also specify an ideal result.fl | fiProposed bias measures should specify under what circumstances or conditions the measure should be expected to produce meaningful results.fl"
Public Policy / Governance,5,100.0,0.0,"CL(5), CR(5), FE(5), EX(5), GA(4), TI(3)",alignment with audience needs and contexts; appropriate type amount and organization of information; clear data sources and methodology; time trends linked to relevant decisions; locally granular data; demographic subgroup breakdowns,frameworkapproach names ivankovi; et als seven criteria for actionable dashboards adapted; operational steps  workflow audience analysis; data selection; display design tabs color codes summaries; navigation optimization,No direct quote found; inferred from context.
Environmental / Energy,4,100.0,0.0,"CL(4), CR(4), FE(4), TI(4), EX(4), GA(4)",integration of theoretical and practical wisdom; embedding knowledge in culturally resonant narratives; ability to provoke contextrelevant action; retention of multiple perspectives and plurality of narratives; connection to lived practical experience and sociopolitical realities; integration of system and agency perspectives to reveal both complexity and options for action,operational steps  workflow; frameworkapproach name analytical framework for tracing systems and agency in niche innovation pathways; methodslevers process tracing multilevel perspective mlp multiactor perspective map multilevel governance mlg agency capacities sustainability assessment; 1 define system boundaries and elements; 2 identify critical development moments; 3 identify system factors influencing those moments,No direct quote found; inferred from context.
Finance / Economics,3,100.0,0.0,"CL(3), CR(3), EX(3), GA(3), FE(1), TI(1)",public visibility of complaint handling; honesty clarity accuracy and openness in communication; creating positive emotional reactions forgiveness in customers; leveraging social influence via audience effects; incorporating emotional recovery elements apology explanation when transparency is low; timeliness and relevance of information,operational steps  workflow; frameworkapproach names conceptual mediationmoderation model linking transparency forgiveness and switching intentions; methodslevers public replies on social media offering sincere apologies providing detailed explanations of failures; 1 identify and respond to complaints publicly where possible; 2 include emotional recovery strategies if transparency is low or absent; 3 monitor forgiveness and switching intentions as key outcomes,No direct quote found; inferred from context.
Software / Systems,2,100.0,0.0,"CL(2), CR(2), FE(2), TI(2), EX(2), GA(2)",updatable living document concept with version control; collaboratively authored communitybased contributions with provenance tracking; structured  semantic representation linked data ontologies rdf; accessible html format wcag compliance; interoperable machinereadable formats fair data principles; contextually linked properties tied to ontologies to enhance interpretability,frameworkapproach names smartreviews within orkg; methodslevers use of rdf ontologies doco fabio deo semantic comparison tables living documents collaborative editing model; operational steps  workflow; 1 create sections text comparisons visualizations ontology tables resourceproperty tables; 2 populate with structured linked data from orkg; 3 maintain head version with version history for updates,No direct quote found; inferred from context.
Computer Science,1,100.0,0.0,"CL(1), CR(1), FE(1), TI(1), EX(1), GA(1)",derives from meaningful usage patterns that reflect actual user behaviour; must be interpretable by domain experts to support decisionmaking; should enable customercentric strategies in competitive environments; requires quality thresholds mintime minconfidence to ensure reliability of patterns,None,No direct quote found; inferred from context.
Data Mining,1,100.0,100.0,"CL(1), CR(1), FE(1), TI(1), EX(1), GA(1)",bidirectional significance technical  business;  fithis framework measures actionability from both technical and business perspectives; objectivesubjective technical and objectivesubjective business interestingnessfl p 2 contentreferenceoaicite22index22; changeoriented feasible attribute manipulation;  fiactions suggest how and which attribute values can be changed in order to achieve maximum profit; flexible vs stable attributesfl p 3 contentreferenceoaicite23index23,frameworkapproach names; twoway significance technicalbusiness loosely vs tightly coupled akd proposed d3mba,"fiThis framework measures actionability from both technical and business perspectives- Objective/Subjective Technical and Objective/Subjective Business interestingness.fl (p. 2) :contentReference[oaicite:22]{index=22} | fiactions suggest how and which attribute values can be changed in order to achieve maximum profit- Flexible vs Stable attributes.fl (p. 3) :contentReference[oaicite:23]{index=23} | fiP_net = P_e × P_gain | fiselection of Flexible and Stable attributes, cost matrix for Flexible attributes and expected profit- determined by domain experts.fl (p. 8) :contentReference[oaicite:25]{index=25}"
"Human Resource Management, Data Science",1,100.0,0.0,"CL(1), CR(1), FE(1), TI(1), EX(1), GA(1)",insights must be relevant to organizational strategy goal alignment; they must be derived from structured analytics lamp components; roi must be demonstrable to justify adoption; outputs must be interpretable and implementable by practitioners; contextual fit between analytics tools and organizational challenges,frameworkapproach names roibased approach lamp framework logic analytics measurement process; operational steps  workflow identify hr challenge; select analytics tools; conduct analysis; interpret results in roi terms; guide strategic decisionmaking,No direct quote found; inferred from context.
Organizational Studies,1,100.0,0.0,"CL(1), CR(1), FE(1), TI(1), EX(1), GA(1)",relevance to fired and hotfl issues strategic importance timeliness perceived as critical by both academics and practitioners; iterative testing and refinement of intermediate theories through actual experiments; boundaryspanning integration of perspectives domains actionreflection and phases design data validation; close alignment with organizational decisionmaking and strategic discourse; mutual ownership of research questions process and interpretation,frameworkapproach name tabletennis research; methodslevers iterative jam sessions intermediate theories realtime experimentation boundaryspanning teams; operational steps  workflow identify redhot issues; form mixed teams; conduct jam sessions data collection analysis validation; develop intermediate theories,No direct quote found; inferred from context.
Transportation / Logistics,1,100.0,0.0,"CL(1), CR(1), FE(1), TI(1), EX(1), GA(1)", fiprovide; timeliness;  fiprovide timely; assessmentsfl p 157 contentreferenceoaicite21index21; defensibilityvalidity; defensible,operational steps  workflow initial analysis; visualization  interaction; exploration  analysis; hypothesis and specification; analyze further iterative loop fig 4 p 165 contentreferenceoaicite31index31;  fivisualization enables human cognition and reasoning which in turn direct and control the further analysis by means of,fiProvide timely - assessments.fl (p. 157). :contentReference[oaicite:21]{index=21} | fiProvide - defensible - assessments.fl (p. 157). :contentReference[oaicite:22]{index=22} | fiProvide - understandable assessments.fl (p. 157). :contentReference[oaicite:23]{index=23} | fiCommunicate assessment effectively for action.fl (p. 157). :contentReference[oaicite:24]{index=24}
Visual Analytics; HumanŒComputer Interaction; Data Science,1,0.0,0.0,"EX(1), GA(1)",None,None,No direct quote found; inferred from context.
